report_date,demand,overall,price_outlook,supply
2021-10-31,-0.48805115001,0.7,0.79508565,0.11805713949999999
2021-11-30,0.06071968621500001,0.7,0.12456850353650001,0.091591026875
2021-12-31,-0.42179798078374997,0.7,0.88135318,0.16521395258
2022-01-31,-0.2150107475,0.4,0.23784329040848998,0.135792771315
2022-02-28,-0.291044196692825,0.7,0.210748563336999,0.11750077265
2022-03-31,-0.545688053825,0.6,0.2976040008899,0.09739222215
2022-04-30,-0.41858402337,-0.4,0.129017852,0.12075774460000001
2022-05-31,-0.5815229502675,-0.6,0.166912111,0.578094595
2022-06-30,-0.5492648964271377,-0.6,0.2473360865753965,0.62287665
2022-07-31,-0.210243240337665,0.6,0.2789658372,0.141566293855
2022-08-31,-0.33863125313172,0.7,0.75833817,0.130799707728
2022-09-30,-0.4989279395705238,0.6,0.848314405,0.12352555814999999
2022-10-31,-0.074365583019475,0.6,0.15647563,0.08215916915
2022-11-30,-0.007679804011582478,0.3,0.14220275447985,0.06862095005
2022-12-31,-0.49975186769976254,0.4,0.248234930505115,0.044027986369999994
2023-01-31,-0.37690498400225003,0.4,0.7922442000000001,0.0540833332
2023-02-28,-0.334465290562875,0.3,0.2837406763813965,0.051402582635
2023-03-31,-0.540038536359625,-0.4,0.83733468,0.039925402049999996
2023-04-30,-0.5593653181277299,0.4,0.17327039175,0.47217968
2023-05-31,,,,
2023-06-30,-0.5559747842133135,0.6,0.08754488033,-0.18148712500000003
2023-07-31,-0.245659439922875,0.6,0.2522004463793515,0.0156906775
2023-08-31,-0.01066323309488973,0.4,0.32793748526327554,-0.026169235000000013
2023-09-30,-0.3813690786694425,0.3,0.0834404017078775,-0.078792555
2023-10-31,-0.36636212349999997,-0.4,0.8086921499999999,0.026040712500000007
2023-11-30,-0.4999574084988308,0.6,0.85403805,0.097586792
2023-12-31,-0.58319542422365,0.6,0.7284263,0.49525549799999996
2024-01-31,-0.44594455560995,0.6,0.8066481999999999,0.42158592
2024-02-29,-0.166783763690439,0.2,0.791840135,0.5445848099999999
2024-03-31,-0.11456309740125001,-0.4,0.0119001287768355,-0.401507415
2024-04-30,0.041191708262499994,0.6,0.9803336,-0.353917975
2024-05-31,-0.5432905225,0.3,0.62017736,-0.39170388
2024-06-30,-0.254430280575,0.6,0.730593,-0.43499831
2024-07-31,-0.449699858545,0.6,0.811535735,-0.41530595
2024-08-31,-0.38725931085625,-0.4,0.3631193153,-0.39879961
2024-09-30,-0.3862944905,0.4,0.69165528,-0.41020489
2024-10-31,-0.4749556269330725,-0.6,0.685980665,-0.38344671
2024-11-30,-0.42853637128544997,0.4,0.06103867055515,-0.455615223
2024-12-31,-0.40793460812455,-0.6,0.3170610975,-0.363229325
2025-01-31,0.06716497799999999,-0.2,0.7492771,-0.418597785
2025-02-28,-0.17266417066414,0.6,0.745995745,-0.3507382
2025-03-31,-0.1181873777945,0.6,0.17103810309414802,-0.450866968
2025-04-30,-0.37850698592188176,-0.6,0.895450175,-0.32779569
2025-05-31,-0.13920877057693626,0.7,0.260908175,-0.352648115
2025-06-30,-0.18232578103657499,0.2,0.3290112227920485,-0.375026185
2025-07-31,-0.46591012705844503,0.7,0.730664385,-0.38275887
2025-08-31,-0.439590467282,0.7,0.341917679587,-0.37698756
2025-09-30,-0.59258105487,0.3,0.675067075,-0.38945332
2025-10-31,-0.494204624,0.4,0.173202805166,-0.46806259
2025-11-30,-0.4062368211528525,0.3,-0.027499047966145,-0.5090392499999999
