report_date,section,sentiment_finbert,sentiment_gpt,source_file,base_sentiment,section_clean
2019-09-30,Product Markets and Refining Operations,0.0011287797,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.0011287797,price_outlook
2019-09-30,World Oil Demand,0.00053723686,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.00053723686,demand
2019-09-30,Balance of Supply and Demand,0.003945142,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.003945142,demand
2019-09-30,Balance of Supply and Demand,-0.7992047,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.7992047,demand
2019-09-30,World Oil Demand,0.00053723686,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.00053723686,demand
2019-09-30,World Oil Supply,0.2696281,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.2696281,supply
2019-09-30,Product Markets and Refining Operations,0.37738666,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.37738666,price_outlook
2019-10-31,World Oil Demand,0.99937034,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.99937034,demand
2019-10-31,Product Markets and Refining Operations,7.032463e-06,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,7.032463e-06,price_outlook
2019-10-31,Balance of Supply and Demand,-0.676696,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.676696,demand
2019-10-31,hybrid,,-0.6,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.6,overall
2019-10-31,World Oil Demand,0.00010924041,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.00010924041,demand
2019-10-31,World Oil Supply,0.097823426,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.097823426,supply
2019-10-31,Product Markets and Refining Operations,-0.14486857,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.14486857,price_outlook
2019-10-31,Balance of Supply and Demand,-0.93533695,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.93533695,demand
2019-10-31,World Oil Supply,0.9964951,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9964951,supply
2019-11-30,hybrid,,-0.6,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.6,overall
2019-11-30,World Oil Supply,0.25402978,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.25402978,supply
2019-11-30,Product Markets and Refining Operations,0.2469806,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.2469806,price_outlook
2019-11-30,Balance of Supply and Demand,-0.8592966,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.8592966,demand
2019-11-30,World Oil Demand,0.29036373,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.29036373,demand
2019-11-30,Balance of Supply and Demand,-0.2964922,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.2964922,demand
2019-11-30,Product Markets and Refining Operations,3.0756206e-07,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,3.0756206e-07,price_outlook
2019-11-30,World Oil Supply,-0.037596,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.037596,supply
2019-11-30,World Oil Demand,-0.00039750675,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.00039750675,demand
2019-12-31,Balance of Supply and Demand,0.7759677,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.7759677,demand
2019-12-31,Product Markets and Refining Operations,0.99999964,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.99999964,price_outlook
2019-12-31,World Oil Supply,-0.07026061,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.07026061,supply
2019-12-31,World Oil Demand,-6.048029e-05,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-6.048029e-05,demand
2019-12-31,hybrid,,0.3,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,0.3,overall
2019-12-31,Balance of Supply and Demand,-0.6448048,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.6448048,demand
2019-12-31,Product Markets and Refining Operations,0.50000006,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.50000006,price_outlook
2019-12-31,World Oil Supply,0.21738134,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.21738134,supply
2019-12-31,World Oil Demand,-0.008287966,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.008287966,demand
2020-01-31,World Oil Supply,0.25039697,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.25039697,supply
2020-01-31,World Oil Demand,0.99827904,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.99827904,demand
2020-01-31,hybrid,,-0.4,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.4,overall
2020-01-31,Balance of Supply and Demand,-0.751842,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.751842,demand
2020-01-31,World Oil Demand,0.39923745,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.39923745,demand
2020-01-31,Product Markets and Refining Operations,6.0276318e-05,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,6.0276318e-05,price_outlook
2020-01-31,Balance of Supply and Demand,0.4280239,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.4280239,demand
2020-01-31,Product Markets and Refining Operations,-2.0220268e-05,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-2.0220268e-05,price_outlook
2020-01-31,World Oil Supply,-0.6328931,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.6328931,supply
2020-02-29,Balance of Supply and Demand,0.93719643,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.93719643,demand
2020-02-29,Product Markets and Refining Operations,1.9235856e-06,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,1.9235856e-06,price_outlook
2020-02-29,World Oil Demand,0.99801415,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.99801415,demand
2020-02-29,hybrid,,-0.8,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.8,overall
2020-02-29,World Oil Demand,0.658233,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.658233,demand
2020-02-29,World Oil Supply,0.21784101,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.21784101,supply
2020-02-29,Product Markets and Refining Operations,0.33319405,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.33319405,price_outlook
2020-02-29,Balance of Supply and Demand,-0.60207963,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.60207963,demand
2020-02-29,World Oil Supply,-0.0028483674,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.0028483674,supply
2020-03-31,World Oil Demand,0.9404168,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.9404168,demand
2020-03-31,World Oil Supply,0.20721245,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.20721245,supply
2020-03-31,Product Markets and Refining Operations,0.68841106,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.68841106,price_outlook
2020-03-31,World Oil Supply,-0.00874911,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.00874911,supply
2020-03-31,Balance of Supply and Demand,-0.63424647,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.63424647,demand
2020-03-31,Product Markets and Refining Operations,0.5634796,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.5634796,price_outlook
2020-03-31,Balance of Supply and Demand,0.8286725,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.8286725,demand
2020-03-31,World Oil Demand,0.99444306,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.99444306,demand
2020-03-31,hybrid,,-0.8,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.8,overall
2020-04-30,World Oil Supply,0.3955478,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.3955478,supply
2020-04-30,Product Markets and Refining Operations,-0.03930982,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.03930982,price_outlook
2020-04-30,Balance of Supply and Demand,-0.68433076,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.68433076,demand
2020-04-30,Balance of Supply and Demand,0.893927,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.893927,demand
2020-04-30,World Oil Demand,0.017316988,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.017316988,demand
2020-04-30,hybrid,,-0.9,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.9,overall
2020-04-30,Product Markets and Refining Operations,0.9492075,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9492075,price_outlook
2020-04-30,World Oil Supply,0.9213623,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9213623,supply
2020-04-30,World Oil Demand,0.9999535,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9999535,demand
2020-05-31,World Oil Demand,0.99986637,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.99986637,demand
2020-05-31,Product Markets and Refining Operations,0.0064924844,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.0064924844,price_outlook
2020-05-31,Balance of Supply and Demand,0.94703585,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.94703585,demand
2020-05-31,Balance of Supply and Demand,-0.61059016,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.61059016,demand
2020-05-31,Product Markets and Refining Operations,0.015459182,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.015459182,price_outlook
2020-05-31,World Oil Supply,0.08473019,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.08473019,supply
2020-05-31,World Oil Demand,0.045306787,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.045306787,demand
2020-05-31,hybrid,,-0.8,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.8,overall
2020-05-31,World Oil Supply,0.9970747,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9970747,supply
2020-06-30,World Oil Demand,0.99999624,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.99999624,demand
2020-06-30,World Oil Supply,0.99981177,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.99981177,supply
2020-06-30,Balance of Supply and Demand,-0.57877856,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.57877856,demand
2020-06-30,World Oil Demand,0.5999938,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.5999938,demand
2020-06-30,hybrid,,-0.8,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.8,overall
2020-06-30,Product Markets and Refining Operations,0.99987364,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.99987364,price_outlook
2020-06-30,Balance of Supply and Demand,0.921249,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.921249,demand
2020-06-30,World Oil Supply,0.26861364,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.26861364,supply
2020-06-30,Product Markets and Refining Operations,0.21798897,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.21798897,price_outlook
2020-07-31,World Oil Demand,0.333585,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.333585,demand
2020-07-31,hybrid,,0.8,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,0.8,overall
2020-07-31,World Oil Demand,0.9999895,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.9999895,demand
2020-07-31,Product Markets and Refining Operations,3.384023e-05,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,3.384023e-05,price_outlook
2020-07-31,World Oil Supply,0.99997246,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,0.99997246,supply
2020-07-31,Balance of Supply and Demand,-0.011166598,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.011166598,demand
2020-07-31,World Oil Supply,0.1632603,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.1632603,supply
2020-07-31,Balance of Supply and Demand,-0.8022312,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.8022312,demand
2020-07-31,Product Markets and Refining Operations,-0.19745061,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,-0.19745061,price_outlook
2020-08-31,World Oil Supply,-0.93150467,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert.csv,-0.93150467,supply
2020-08-31,hybrid,,-0.4,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_comparison_scores_gpt.csv,-0.4,overall
2020-08-31,Product Markets and Refining Operations,0.30991554,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.30991554,price_outlook
2020-08-31,World Oil Supply,0.20079485,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.20079485,supply
2020-08-31,World Oil Demand,0.3725032,,c:\PythonProjects\LLM-polypropylene\data\reports\energy\opec\opec_features_finbert_chunked.csv,0.3725032,demand
